id,Cluster
1,0.0
186,0.0
236,0.0
496,0.0
551,0.0
705,0.0
706,0.0
801,0.0
826,0.0
1242,0.0
1290,0.0
1389,0.0
1411,0.0
1990,0.0
94,303.0
3288,303.0
154,304.0
885,304.0
3334,304.0
3335,304.0
478,305.0
3399,305.0
638,306.0
3410,306.0
703,307.0
815,307.0
3429,307.0
3430,307.0
1278,308.0
3289,308.0
1485,309.0
3290,309.0
30,245.0
106,245.0
299,245.0
302,245.0
374,245.0
480,245.0
550,245.0
612,245.0
695,245.0
820,245.0
837,245.0
904,245.0
913,245.0
920,245.0
925,245.0
978,245.0
1112,245.0
1156,245.0
1179,245.0
1224,245.0
1238,245.0
1264,245.0
1344,245.0
1435,245.0
1446,245.0
1453,245.0
1525,245.0
1557,245.0
1574,245.0
1587,245.0
1660,245.0
1867,245.0
1887,245.0
1897,245.0
1916,245.0
1927,245.0
1959,245.0
1964,245.0
1974,245.0
702,310.0
935,310.0
1037,310.0
1744,310.0
1780,310.0
3424,310.0
3425,310.0
3426,310.0
3427,310.0
3428,310.0
50,246.0
66,246.0
73,246.0
93,246.0
218,246.0
247,246.0
331,246.0
346,246.0
371,246.0
479,246.0
511,246.0
614,246.0
748,246.0
784,246.0
884,246.0
891,246.0
898,246.0
903,246.0
1013,246.0
1016,246.0
1048,246.0
1084,246.0
1311,246.0
1338,246.0
1348,246.0
1433,246.0
1586,246.0
1620,246.0
1937,246.0
512,311.0
1257,311.0
1387,311.0
3319,311.0
3320,311.0
3321,311.0
1563,312.0
3473,312.0
64,247.0
1747,247.0
2977,247.0
3301,247.0
3302,247.0
394,248.0
3055,248.0
3387,248.0
3388,248.0
742,249.0
1046,249.0
3056,249.0
3440,249.0
3441,249.0
3442,249.0
3179,250.0
3527,250.0
4,185.0
27,185.0
59,185.0
189,185.0
214,185.0
266,185.0
491,185.0
492,185.0
542,185.0
753,185.0
799,185.0
945,185.0
981,185.0
1022,185.0
1117,185.0
1766,185.0
1883,185.0
1944,185.0
33,313.0
150,313.0
179,313.0
184,313.0
274,313.0
286,313.0
287,313.0
334,313.0
407,313.0
458,313.0
505,313.0
521,313.0
634,313.0
716,313.0
717,313.0
761,313.0
806,313.0
1009,313.0
1050,313.0
1052,313.0
1106,313.0
1110,313.0
1158,313.0
1285,313.0
1420,313.0
1436,313.0
1568,313.0
1572,313.0
1629,313.0
1672,313.0
1701,313.0
1755,313.0
1812,313.0
1881,313.0
1913,313.0
